time,epoch,batch,loss,cost
0min0sec,0,0,0.000,59.823
0min7sec,0,10,-964.000,62.790
0min7sec,0,20,-419.135,63.079
0min6sec,0,30,-407.147,63.692
0min6sec,0,40,-188.147,62.898
0min6sec,0,50,-60.855,62.320
0min6sec,0,60,-92.751,62.186
0min6sec,0,70,8.415,61.645
0min6sec,0,80,-125.061,61.855
0min6sec,0,90,-156.325,62.127
0min6sec,0,100,-82.402,62.164
0min6sec,0,110,3.634,62.098
0min6sec,0,120,-3.818,61.905
0min6sec,0,130,18.912,61.631
0min6sec,0,140,0.843,61.659
0min6sec,0,150,22.186,61.374
0min6sec,0,160,22.273,61.176
0min6sec,0,170,39.401,60.926
0min6sec,0,180,40.659,60.689
0min6sec,0,190,62.628,60.284
0min6sec,0,200,94.274,59.805
0min7sec,0,210,43.136,59.628
0min7sec,0,220,36.496,59.440
0min7sec,0,230,34.832,59.278
0min6sec,0,240,78.866,58.866
0min7sec,0,250,14.260,58.739
0min7sec,0,260,15.056,58.567
0min7sec,0,270,-14.549,58.621
0min7sec,0,280,15.408,58.415
0min6sec,0,290,40.448,58.201
0min6sec,0,300,31.052,58.019
0min7sec,0,310,31.993,57.805
0min7sec,0,320,-26.719,57.922
0min7sec,0,330,21.942,57.789
0min9sec,0,340,-136.183,58.388
0min9sec,0,350,-191.494,58.822
0min11sec,0,360,-234.385,59.464
0min10sec,0,370,-182.587,59.985
0min7sec,0,380,-60.520,59.931
0min7sec,0,390,-54.493,59.937
0min9sec,0,400,-125.090,60.242
0min9sec,0,410,-119.779,60.582
0min10sec,0,420,-171.842,61.069
0min11sec,0,430,-227.364,61.720
0min12sec,0,440,-201.692,62.394
0min12sec,0,450,-222.676,63.117
0min12sec,0,460,-264.773,63.897
0min11sec,0,470,-193.667,64.430
0min10sec,0,480,-179.618,64.766
0min9sec,0,490,-140.197,65.043
0min8sec,0,500,-96.325,65.111
0min7sec,0,510,-86.206,65.121
0min7sec,0,520,-58.451,65.001
0min7sec,0,530,-55.039,64.862
0min7sec,0,540,-51.049,64.745
0min6sec,0,550,-50.363,64.617
0min6sec,0,560,-39.078,64.451
0min6sec,0,570,-43.168,64.292
0min6sec,0,580,-40.361,64.147
0min6sec,0,590,-50.213,64.052
0min6sec,0,600,-48.562,63.966
0min6sec,0,610,-47.039,63.864
0min7sec,0,620,-31.846,63.706
0min6sec,0,630,-17.253,63.484
0min6sec,0,640,-12.133,63.251
0min6sec,0,650,-12.174,63.046
0min6sec,0,660,-21.214,62.859
0min6sec,0,670,-11.626,62.641
0min6sec,0,680,-24.112,62.473
0min6sec,0,690,-18.710,62.275
0min6sec,0,700,-22.165,62.109
0min6sec,0,710,-31.421,61.941
0min6sec,0,720,-24.553,61.768
0min6sec,0,730,-26.786,61.620
0min6sec,0,740,-29.000,61.517
0min6sec,0,750,-21.709,61.358
0min6sec,0,760,-22.516,61.216
0min6sec,0,770,-29.168,61.096
0min6sec,0,780,-23.648,60.950
0min7sec,0,790,-23.181,60.811
0min6sec,0,800,-25.652,60.682
0min6sec,0,810,-27.898,60.581
0min7sec,0,820,-29.276,60.459
0min7sec,0,830,-42.152,60.417
0min7sec,0,840,-44.740,60.424
0min7sec,0,850,-33.674,60.344
0min6sec,0,860,-24.571,60.211
0min7sec,0,870,-29.659,60.121
0min7sec,0,880,-41.868,60.083
0min7sec,0,890,-41.775,60.027
0min7sec,0,900,-37.848,59.960
0min7sec,0,910,-31.032,59.860
0min7sec,0,920,-27.604,59.763
0min7sec,0,930,-35.822,59.701
0min7sec,0,940,-36.464,59.649
0min7sec,0,950,-31.806,59.562
0min6sec,0,960,-34.205,59.499
0min6sec,0,970,-34.336,59.431
0min7sec,0,980,-32.164,59.362
0min7sec,0,990,-28.207,59.266
