time,epoch,batch,loss,cost
0min1sec,0,0,-113.219,59.400
0min10sec,0,10,128.873,58.835
0min8sec,0,20,477.953,56.723
0min8sec,0,30,422.381,55.448
0min8sec,0,40,360.216,54.398
0min8sec,0,50,281.508,53.533
0min8sec,0,60,328.993,52.581
0min8sec,0,70,306.380,51.655
0min8sec,0,80,241.760,51.081
0min8sec,0,90,251.236,50.459
0min7sec,0,100,251.362,49.763
0min8sec,0,110,238.789,49.115
0min9sec,0,120,218.198,48.637
0min8sec,0,130,226.291,48.058
0min7sec,0,140,241.656,47.392
0min7sec,0,150,225.907,46.774
0min7sec,0,160,221.289,46.173
0min7sec,0,170,209.460,45.595
0min7sec,0,180,201.162,45.041
0min7sec,0,190,198.602,44.483
0min7sec,0,200,183.735,43.991
0min7sec,0,210,181.858,43.505
0min7sec,0,220,174.498,43.021
0min6sec,0,230,171.149,42.540
0min7sec,0,240,160.398,42.090
0min7sec,0,250,147.855,41.715
0min7sec,0,260,133.086,41.416
0min7sec,0,270,122.751,41.127
0min8sec,0,280,109.285,40.908
0min7sec,0,290,112.400,40.625
0min7sec,0,300,115.972,40.299
0min7sec,0,310,116.717,39.952
0min7sec,0,320,112.533,39.620
0min6sec,0,330,109.415,39.294
0min6sec,0,340,106.290,38.980
0min6sec,0,350,103.329,38.682
0min6sec,0,360,99.721,38.393
0min7sec,0,370,91.308,38.154
0min7sec,0,380,85.980,37.944
0min7sec,0,390,88.095,37.710
0min7sec,0,400,85.420,37.487
0min7sec,0,410,83.998,37.264
0min6sec,0,420,84.287,37.038
0min6sec,0,430,82.406,36.814
0min6sec,0,440,80.288,36.609
0min6sec,0,450,79.687,36.396
0min6sec,0,460,79.029,36.184
0min6sec,0,470,77.389,35.976
0min6sec,0,480,74.572,35.788
0min6sec,0,490,72.867,35.605
0min6sec,0,500,72.119,35.425
0min6sec,0,510,70.692,35.252
0min6sec,0,520,69.947,35.078
0min6sec,0,530,68.150,34.915
0min6sec,0,540,66.461,34.757
0min6sec,0,550,64.409,34.609
0min6sec,0,560,63.679,34.462
0min7sec,0,570,61.799,34.320
0min7sec,0,580,59.101,34.193
0min7sec,0,590,58.569,34.064
0min6sec,0,600,56.948,33.936
0min7sec,0,610,54.687,33.819
0min7sec,0,620,51.769,33.722
0min7sec,0,630,49.342,33.636
0min7sec,0,640,49.328,33.548
0min7sec,0,650,48.088,33.463
0min7sec,0,660,48.833,33.370
0min6sec,0,670,49.694,33.259
0min7sec,0,680,45.507,33.169
0min9sec,0,690,37.617,33.122
0min7sec,0,700,41.285,33.041
0min7sec,0,710,40.004,32.957
0min6sec,0,720,40.725,32.871
0min6sec,0,730,42.501,32.763
0min6sec,0,740,42.410,32.652
0min6sec,0,750,41.525,32.548
0min6sec,0,760,40.355,32.449
0min6sec,0,770,40.181,32.349
0min6sec,0,780,38.264,32.261
0min6sec,0,790,37.660,32.174
0min6sec,0,800,37.597,32.081
0min7sec,0,810,35.751,32.004
0min8sec,0,820,32.985,31.948
0min6sec,0,830,34.318,31.861
0min6sec,0,840,33.682,31.776
0min6sec,0,850,33.602,31.691
0min6sec,0,860,32.938,31.608
0min7sec,0,870,30.430,31.532
0min8sec,0,880,28.926,31.456
0min7sec,0,890,29.275,31.375
0min6sec,0,900,27.411,31.306
0min6sec,0,910,28.070,31.233
0min7sec,0,920,26.712,31.160
