time,epoch,batch,loss,cost
0min0sec,0,0,-4.644,59.151
0min9sec,0,10,-221.994,60.014
0min8sec,0,20,292.194,58.291
0min7sec,0,30,384.720,56.886
0min7sec,0,40,397.674,55.690
0min7sec,0,50,399.505,54.513
0min9sec,0,60,303.042,53.783
0min9sec,0,70,279.986,53.151
0min10sec,0,80,189.118,52.840
0min10sec,0,90,188.358,52.492
0min10sec,0,100,141.277,52.353
0min9sec,0,110,138.336,52.140
0min9sec,0,120,182.440,51.676
0min8sec,0,130,201.907,51.082
0min9sec,0,140,194.127,50.510
0min8sec,0,150,206.639,49.859
0min9sec,0,160,195.678,49.277
0min8sec,0,170,202.579,48.619
0min8sec,0,180,194.767,47.956
0min7sec,0,190,191.184,47.361
0min7sec,0,200,185.187,46.825
0min7sec,0,210,176.977,46.301
0min7sec,0,220,173.452,45.766
0min7sec,0,230,172.360,45.217
0min7sec,0,240,168.993,44.667
0min7sec,0,250,162.869,44.134
0min6sec,0,260,157.414,43.610
0min7sec,0,270,153.184,43.113
0min8sec,0,280,135.834,42.679
0min8sec,0,290,132.473,42.264
0min7sec,0,300,122.186,41.879
0min7sec,0,310,109.292,41.566
0min8sec,0,320,88.262,41.363
0min9sec,0,330,60.680,41.282
0min9sec,0,340,69.549,41.104
0min8sec,0,350,78.720,40.839
0min7sec,0,360,78.353,40.573
0min7sec,0,370,79.815,40.282
0min7sec,0,380,80.205,39.981
0min6sec,0,390,82.245,39.660
0min6sec,0,400,81.144,39.338
0min6sec,0,410,80.110,39.016
0min8sec,0,420,73.727,38.727
0min7sec,0,430,70.328,38.447
0min6sec,0,440,69.558,38.173
0min7sec,0,450,66.296,37.920
0min8sec,0,460,63.294,37.677
0min6sec,0,470,63.536,37.422
0min6sec,0,480,62.418,37.177
0min7sec,0,490,60.305,36.936
0min7sec,0,500,57.462,36.706
0min8sec,0,510,50.189,36.510
0min6sec,0,520,51.139,36.290
0min6sec,0,530,51.127,36.069
0min8sec,0,540,42.285,35.892
0min7sec,0,550,38.411,35.714
0min6sec,0,560,39.650,35.519
0min6sec,0,570,38.139,35.337
0min6sec,0,580,36.329,35.170
0min6sec,0,590,35.682,35.007
0min6sec,0,600,34.316,34.849
0min6sec,0,610,34.511,34.691
0min6sec,0,620,34.469,34.528
0min6sec,0,630,32.557,34.381
0min6sec,0,640,32.674,34.233
0min6sec,0,650,32.603,34.079
0min6sec,0,660,31.534,33.932
0min6sec,0,670,31.727,33.784
0min6sec,0,680,31.304,33.641
0min6sec,0,690,30.159,33.503
0min6sec,0,700,29.835,33.364
0min6sec,0,710,28.931,33.232
0min7sec,0,720,26.819,33.108
0min6sec,0,730,27.754,32.972
0min7sec,0,740,24.702,32.851
0min8sec,0,750,21.484,32.747
0min6sec,0,760,22.556,32.630
0min6sec,0,770,22.805,32.510
0min7sec,0,780,21.976,32.392
0min6sec,0,790,20.958,32.285
0min6sec,0,800,19.916,32.186
0min6sec,0,810,20.459,32.079
0min6sec,0,820,19.939,31.975
0min6sec,0,830,20.320,31.865
0min6sec,0,840,19.817,31.758
0min6sec,0,850,19.450,31.652
0min6sec,0,860,18.236,31.556
0min6sec,0,870,18.134,31.461
0min6sec,0,880,17.684,31.367
0min6sec,0,890,17.921,31.272
0min6sec,0,900,17.513,31.177
0min6sec,0,910,17.158,31.085
0min6sec,0,920,16.997,30.996
0min6sec,0,930,16.662,30.907
0min6sec,0,940,16.046,30.823
0min6sec,0,950,16.217,30.737
0min6sec,0,960,15.844,30.650
0min8sec,0,970,9.016,30.597
0min7sec,0,980,8.383,30.530
0min8sec,0,990,6.180,30.469
0min7sec,0,1000,6.480,30.397
0min7sec,0,1010,4.414,30.338
0min7sec,0,1020,4.171,30.287
0min7sec,0,1030,5.061,30.223
0min7sec,0,1040,5.393,30.155
0min7sec,0,1050,5.160,30.089
0min7sec,0,1060,4.846,30.024
0min7sec,0,1070,5.055,29.955
0min7sec,0,1080,4.462,29.892
0min6sec,0,1090,4.425,29.828
0min6sec,0,1100,4.390,29.764
0min6sec,0,1110,4.671,29.696
0min6sec,0,1120,4.598,29.629
0min7sec,0,1130,4.441,29.559
0min6sec,0,1140,4.212,29.491
0min6sec,0,1150,3.945,29.423
0min6sec,0,1160,3.685,29.357
0min6sec,0,1170,3.128,29.293
0min6sec,0,1180,2.518,29.236
0min6sec,0,1190,2.029,29.180
0min6sec,0,1200,2.492,29.121
0min6sec,0,1210,2.489,29.059
0min6sec,0,1220,2.323,29.000
0min6sec,0,1230,2.133,28.941
0min6sec,0,1240,1.888,28.885
0min6sec,0,1250,1.816,28.828
0min6sec,0,1260,1.642,28.774
0min6sec,0,1270,1.294,28.724
0min6sec,0,1280,1.639,28.670
0min6sec,0,1290,1.664,28.613
0min6sec,0,1300,1.475,28.558
0min6sec,0,1310,1.609,28.501
0min7sec,0,1320,1.181,28.447
0min7sec,0,1330,0.747,28.399
0min6sec,0,1340,0.594,28.351
0min6sec,0,1350,0.516,28.305
0min7sec,0,1360,-0.520,28.263
0min7sec,0,1370,-2.361,28.231
0min6sec,0,1380,-1.661,28.185
0min6sec,0,1390,-1.423,28.139
0min6sec,0,1400,-1.186,28.088
0min6sec,0,1410,-1.429,28.039
0min6sec,0,1420,-1.591,27.991
0min6sec,0,1430,-2.192,27.949
0min7sec,0,1440,-3.129,27.911
0min7sec,0,1450,-4.210,27.880
0min7sec,0,1460,-5.555,27.856
0min7sec,0,1470,-6.329,27.833
0min7sec,0,1480,-6.011,27.809
0min7sec,0,1490,-5.807,27.781
5min38sec,1,0,-343.317,22.385
0min7sec,1,10,-1213.749,23.366
0min7sec,1,20,-1003.516,23.025
0min6sec,1,30,-883.755,22.810
0min7sec,1,40,-959.639,22.997
0min6sec,1,50,-1069.109,23.335
0min6sec,1,60,-1226.891,23.811
0min7sec,1,70,-1401.786,24.371
0min7sec,1,80,-1600.522,24.974
0min8sec,1,90,-1917.952,25.812
0min8sec,1,100,-2330.995,26.841
