time,epoch,batch,loss,cost
0min0sec,0,0,-0.285,16.320
0min4sec,0,10,54.782,15.134
0min3sec,0,20,48.896,14.520
0min3sec,0,30,46.708,13.893
0min3sec,0,40,44.978,13.211
0min3sec,0,50,41.779,12.531
0min3sec,0,60,38.075,11.902
0min3sec,0,70,34.208,11.358
0min3sec,0,80,30.381,10.917
0min3sec,0,90,27.387,10.549
0min2sec,0,100,24.830,10.241
0min2sec,0,110,22.709,9.979
0min3sec,0,120,20.813,9.761
0min3sec,0,130,19.344,9.565
0min3sec,0,140,18.004,9.394
0min3sec,0,150,16.818,9.243
0min2sec,0,160,15.735,9.111
0min2sec,0,170,14.822,8.994
0min3sec,0,180,14.032,8.887
0min3sec,0,190,13.320,8.789
0min3sec,0,200,12.670,8.700
0min3sec,0,210,12.073,8.618
0min3sec,0,220,11.505,8.544
0min3sec,0,230,11.017,8.473
0min3sec,0,240,10.569,8.408
0min3sec,0,250,10.142,8.348
0min3sec,0,260,9.780,8.291
0min3sec,0,270,9.380,8.239
0min3sec,0,280,9.052,8.189
0min2sec,0,290,8.712,8.143
0min3sec,0,300,8.425,8.099
0min2sec,0,310,8.160,8.057
0min3sec,0,320,7.868,8.020
0min3sec,0,330,7.634,7.983
0min3sec,0,340,7.434,7.947
0min3sec,0,350,7.202,7.913
0min3sec,0,360,7.002,7.880
0min3sec,0,370,6.810,7.849
0min3sec,0,380,6.619,7.818
0min3sec,0,390,6.433,7.790
0min3sec,0,400,6.277,7.763
0min3sec,0,410,6.113,7.737
0min3sec,0,420,5.963,7.712
0min3sec,0,430,5.829,7.687
0min3sec,0,440,5.682,7.664
0min3sec,0,450,5.541,7.643
0min2sec,0,460,5.418,7.621
0min3sec,0,470,5.299,7.601
0min3sec,0,480,5.191,7.580
0min3sec,0,490,5.074,7.561
0min3sec,0,500,4.963,7.542
0min3sec,0,510,4.852,7.524
0min2sec,0,520,4.762,7.506
0min2sec,0,530,4.666,7.488
0min2sec,0,540,4.575,7.471
0min2sec,0,550,4.477,7.455
0min2sec,0,560,4.383,7.439
0min2sec,0,570,4.306,7.424
0min2sec,0,580,4.224,7.409
0min2sec,0,590,4.145,7.395
0min2sec,0,600,4.065,7.381
0min2sec,0,610,3.992,7.368
0min2sec,0,620,3.913,7.354
0min2sec,0,630,3.841,7.341
0min3sec,0,640,3.777,7.328
0min2sec,0,650,3.711,7.316
0min3sec,0,660,3.642,7.305
0min3sec,0,670,3.588,7.293
0min3sec,0,680,3.521,7.282
0min2sec,0,690,3.460,7.271
0min2sec,0,700,3.400,7.260
0min2sec,0,710,3.341,7.250
0min2sec,0,720,3.287,7.240
0min2sec,0,730,3.233,7.230
0min2sec,0,740,3.189,7.220
0min2sec,0,750,3.134,7.210
0min2sec,0,760,3.095,7.200
0min2sec,0,770,3.042,7.191
0min2sec,0,780,3.002,7.182
0min2sec,0,790,2.957,7.173
0min2sec,0,800,2.915,7.164
0min2sec,0,810,2.871,7.155
0min2sec,0,820,2.829,7.147
0min2sec,0,830,2.788,7.138
0min2sec,0,840,2.751,7.130
0min2sec,0,850,2.719,7.122
0min3sec,0,860,2.675,7.114
0min3sec,0,870,2.648,7.106
0min3sec,0,880,2.605,7.099
0min2sec,0,890,2.568,7.091
0min2sec,0,900,2.539,7.084
0min2sec,0,910,2.507,7.076
0min2sec,0,920,2.479,7.069
0min2sec,0,930,2.443,7.062
0min3sec,0,940,2.412,7.055
0min3sec,0,950,2.384,7.048
0min2sec,0,960,2.357,7.041
0min2sec,0,970,2.325,7.035
0min3sec,0,980,2.299,7.029
0min3sec,0,990,2.278,7.022
0min3sec,0,1000,2.251,7.015
0min3sec,0,1010,2.223,7.009
0min2sec,0,1020,2.195,7.003
0min2sec,0,1030,2.171,6.997
0min2sec,0,1040,2.150,6.991
0min2sec,0,1050,2.123,6.985
0min2sec,0,1060,2.100,6.979
0min2sec,0,1070,2.076,6.973
0min2sec,0,1080,2.048,6.968
0min2sec,0,1090,2.024,6.963
0min2sec,0,1100,2.009,6.957
0min2sec,0,1110,1.988,6.952
0min2sec,0,1120,1.965,6.947
0min2sec,0,1130,1.945,6.942
0min2sec,0,1140,1.927,6.936
0min2sec,0,1150,1.905,6.931
0min2sec,0,1160,1.879,6.926
0min2sec,0,1170,1.853,6.921
0min2sec,0,1180,1.838,6.916
0min2sec,0,1190,1.821,6.911
0min2sec,0,1200,1.803,6.906
0min2sec,0,1210,1.787,6.902
0min2sec,0,1220,1.771,6.897
0min2sec,0,1230,1.749,6.892
0min2sec,0,1240,1.737,6.888
0min2sec,0,1250,1.719,6.883
0min2sec,0,1260,1.701,6.879
0min2sec,0,1270,1.685,6.875
0min2sec,0,1280,1.675,6.870
0min2sec,0,1290,1.658,6.866
0min2sec,0,1300,1.638,6.862
0min2sec,0,1310,1.625,6.858
0min3sec,0,1320,1.613,6.854
0min2sec,0,1330,1.598,6.850
0min2sec,0,1340,1.586,6.846
0min2sec,0,1350,1.572,6.842
0min2sec,0,1360,1.560,6.838
0min2sec,0,1370,1.544,6.834
0min2sec,0,1380,1.531,6.830
0min2sec,0,1390,1.518,6.826
0min2sec,0,1400,1.503,6.822
0min2sec,0,1410,1.486,6.818
0min2sec,0,1420,1.476,6.815
0min2sec,0,1430,1.463,6.811
0min2sec,0,1440,1.448,6.807
0min3sec,0,1450,1.437,6.803
0min2sec,0,1460,1.423,6.800
0min2sec,0,1470,1.410,6.796
0min2sec,0,1480,1.399,6.792
0min2sec,0,1490,1.383,6.789
0min2sec,0,1500,1.372,6.786
0min2sec,0,1510,1.361,6.782
0min2sec,0,1520,1.348,6.779
0min2sec,0,1530,1.336,6.776
0min2sec,0,1540,1.323,6.772
0min2sec,0,1550,1.309,6.769
0min2sec,0,1560,1.300,6.766
0min2sec,0,1570,1.295,6.763
0min2sec,0,1580,1.283,6.759
0min2sec,0,1590,1.269,6.756
0min2sec,0,1600,1.257,6.753
0min2sec,0,1610,1.249,6.750
0min2sec,0,1620,1.242,6.747
0min2sec,0,1630,1.231,6.744
0min2sec,0,1640,1.223,6.741
0min2sec,0,1650,1.214,6.737
0min2sec,0,1660,1.205,6.734
0min2sec,0,1670,1.195,6.732
0min2sec,0,1680,1.189,6.729
0min2sec,0,1690,1.181,6.725
0min2sec,0,1700,1.171,6.723
0min2sec,0,1710,1.164,6.720
0min2sec,0,1720,1.156,6.717
0min2sec,0,1730,1.147,6.714
0min2sec,0,1740,1.141,6.711
0min2sec,0,1750,1.131,6.708
0min2sec,0,1760,1.120,6.705
0min2sec,0,1770,1.112,6.702
0min2sec,0,1780,1.102,6.700
0min2sec,0,1790,1.094,6.697
